index,date,open,high,low,close,volume,marketcap
880,"Jun 20, 2019",9273.06,9594.42,9232.48,9527.16,17846823784.0,169304784791.0
881,"Jun 19, 2019",9078.73,9299.62,9070.4,9273.52,15546809946.0,164780855869.0
882,"Jun 18, 2019",9335.47,9348.37,9004.9,9081.76,15848210536.0,161353637186.0
883,"Jun 17, 2019",8988.92,9416.41,8988.92,9320.35,15562951919.0,165573372261.0
884,"Jun 16, 2019",8841.44,9335.87,8814.56,8994.49,23348550311.0,159769423370.0
885,"Jun 15, 2019",8689.75,8859.13,8618.4,8838.38,18371033226.0,156982138835.0
886,"Jun 14, 2019",8230.9,8710.64,8183.39,8693.83,19831162906.0,154398880249.0
887,"Jun 13, 2019",8145.55,8311.57,8087.06,8230.92,18669407147.0,146160317148.0
888,"Jun 12, 2019",7925.43,8196.65,7862.36,8145.86,19034432883.0,144634684711.0
889,"Jun 11, 2019",8004.24,8026.39,7772.8,7927.71,17107279932.0,140748537530.0
890,"Jun 10, 2019",7692.28,8031.91,7586.73,8000.33,18689275117.0,142023351079.0
891,"Jun 09, 2019",7949.67,7975.97,7583.22,7688.08,16610726547.0,136465098533.0
892,"Jun 08, 2019",8036.77,8076.89,7837.61,7954.13,16522722810.0,141172841635.0
893,"Jun 07, 2019",7826.9,8126.15,7788.37,8043.95,19141423231.0,142754693588.0
894,"Jun 06, 2019",7819.63,7937.34,7571.47,7822.02,19474611077.0,138800725479.0
895,"Jun 05, 2019",7704.34,7901.85,7668.67,7824.23,21760923463.0,138824651666.0
896,"Jun 04, 2019",8210.99,8210.99,7564.49,7707.77,24609731549.0,136742790469.0
897,"Jun 03, 2019",8741.75,8743.5,8204.19,8208.99,22004511436.0,145619047341.0
898,"Jun 02, 2019",8565.47,8809.3,8561.24,8742.96,20266216022.0,155077231351.0
899,"Jun 01, 2019",8573.84,8625.6,8481.58,8564.02,22488303544.0,151890214310.0
900,"May 31, 2019",8320.29,8586.66,8172.55,8574.5,25365190957.0,152059886414.0
901,"May 30, 2019",8661.76,9008.31,8221.27,8319.47,29246528551.0,147525141134.0
902,"May 29, 2019",8718.59,8755.85,8482.73,8659.49,23473479966.0,153537047655.0
903,"May 28, 2019",8802.76,8807.02,8634.72,8719.96,24226919267.0,154590202287.0
904,"May 27, 2019",8674.07,8907.17,8668.7,8805.78,27949839564.0,156093754762.0
905,"May 26, 2019",8055.21,8687.52,7924.67,8673.22,26677970091.0,153725486067.0
906,"May 25, 2019",7991.89,8117.93,7965.98,8052.54,22256813107.0,142708188838.0
907,"May 24, 2019",7881.7,8140.72,7824.45,7987.37,25919126991.0,141539115575.0
908,"May 23, 2019",7677.27,7943.79,7533.2,7881.85,24457107820.0,139654107035.0
909,"May 22, 2019",7956.29,7997.61,7615.99,7680.07,24719473175.0,136063898960.0
910,"May 21, 2019",7977.97,8062.17,7843.34,7963.33,25127245056.0,141065573610.0
911,"May 20, 2019",8196.92,8200.97,7678.78,7978.31,23843404340.0,141315695728.0
912,"May 19, 2019",7267.96,8261.94,7267.96,8197.69,25902422040.0,145185076705.0
913,"May 18, 2019",7341.66,7447.27,7251.5,7271.21,21354286562.0,128761727083.0
914,"May 17, 2019",7886.93,7929.15,7038.12,7343.9,30066644905.0,130034777633.0
915,"May 16, 2019",8194.5,8320.82,7729.61,7884.91,33167197581.0,139599559278.0
916,"May 15, 2019",7989.37,8216.42,7899.11,8205.17,28344112920.0,145254332460.0
917,"May 14, 2019",7807.88,8268.71,7696.39,7994.42,32031452227.0,141508656735.0
918,"May 13, 2019",6971.18,8047.41,6898.28,7814.92,28677672181.0,138316573807.0
919,"May 12, 2019",7203.51,7503.87,6815.77,6972.37,27773333680.0,123389710222.0
920,"May 11, 2019",6379.67,7333.0,6375.7,7204.77,28867562329.0,127488435181.0
921,"May 10, 2019",6175.82,6434.62,6161.52,6378.85,19419875368.0,112863284035.0
922,"May 09, 2019",5982.32,6183.04,5982.32,6174.53,16784645411.0,109238600750.0
923,"May 08, 2019",5849.48,5989.98,5794.72,5982.46,15320605300.0,105829143585.0
924,"May 07, 2019",5745.6,5988.18,5741.4,5829.5,18026409033.0,103112368557.0
925,"May 06, 2019",5791.69,5802.96,5653.69,5746.81,15737171804.0,101640471056.0
926,"May 05, 2019",5831.07,5833.86,5708.04,5795.71,14808830723.0,102494420158.0
927,"May 04, 2019",5769.2,5886.89,5645.47,5831.17,17567780766.0,103112021259.0
928,"May 03, 2019",5505.55,5865.88,5490.2,5768.29,18720780006.0,101986240859.0
929,"May 02, 2019",5402.42,5522.26,5394.22,5505.28,14644460907.0,97330112147.0
930,"May 01, 2019",5350.91,5418.0,5347.65,5402.7,13679528236.0,95501110091.0
931,"Apr 30, 2019",5247.73,5363.26,5224.19,5350.73,13878964574.0,94573826827.0
932,"Apr 29, 2019",5284.86,5311.27,5216.49,5247.35,13735490672.0,92737510865.0
933,"Apr 28, 2019",5271.75,5326.23,5255.68,5285.14,12819992056.0,93391244395.0
934,"Apr 27, 2019",5279.47,5310.75,5233.64,5268.29,13111274675.0,93086156556.0
935,"Apr 26, 2019",5210.3,5383.63,5177.37,5279.35,16812108040.0,93272287960.0
936,"Apr 25, 2019",5466.52,5542.24,5181.34,5210.52,15330283408.0,92046492864.0
937,"Apr 24, 2019",5571.51,5642.04,5418.26,5464.87,17048033399.0,96530038144.0
938,"Apr 23, 2019",5399.37,5633.8,5389.41,5572.36,15867308108.0,98417387004.0
939,"Apr 22, 2019",5312.49,5422.69,5280.28,5399.37,14601631648.0,95354207776.0
940,"Apr 21, 2019",5335.88,5359.93,5257.34,5314.53,13731844223.0,93847052256.0
941,"Apr 20, 2019",5304.16,5358.49,5295.88,5337.89,13169647522.0,94248717444.0
942,"Apr 19, 2019",5298.15,5336.68,5233.34,5303.81,13780238655.0,93638345002.0
943,"Apr 18, 2019",5251.48,5319.99,5250.51,5298.39,13256489918.0,93532402741.0
944,"Apr 17, 2019",5236.14,5274.28,5219.21,5251.94,12438480677.0,92702617458.0
945,"Apr 16, 2019",5066.58,5238.95,5055.19,5235.56,11618660197.0,92404613297.0
946,"Apr 15, 2019",5167.32,5196.61,5024.07,5067.11,12290155061.0,89422237603.0
947,"Apr 14, 2019",5095.76,5184.02,5053.57,5167.72,10391952498.0,91188595341.0
948,"Apr 13, 2019",5088.85,5127.12,5061.59,5096.59,10823289598.0,89925574875.0
949,"Apr 12, 2019",5061.2,5103.27,4955.85,5089.54,13675206312.0,89792633045.0
950,"Apr 11, 2019",5325.08,5354.23,5017.3,5064.49,16555616019.0,89341168457.0
